Simulation, Total_Death
0, 100
1, 82
2, 92
3, 100
4, 93
5, 91
6, 98
7, 87
8, 90
9, 87
10, 93
11, 88
12, 93
13, 98
14, 92
15, 89
16, 90
17, 98
18, 95
19, 97
20, 79
21, 89
22, 85
23, 90
24, 92
25, 97
26, 98
27, 97
28, 92
29, 94
30, 91
31, 91
32, 91
33, 98
34, 98
35, 91
36, 99
37, 96
38, 95
39, 99
40, 96
41, 94
42, 95
43, 86
44, 92
45, 93
46, 90
47, 98
48, 88
49, 97
