Simulation, Total_Death
0, 92
1, 100
2, 92
3, 90
4, 83
5, 95
6, 87
7, 92
8, 90
9, 87
10, 90
11, 89
12, 93
13, 95
14, 98
15, 96
16, 90
17, 97
18, 99
19, 90
20, 99
21, 96
22, 96
23, 86
24, 86
25, 88
26, 95
27, 95
28, 92
29, 83
30, 90
31, 96
32, 93
33, 100
34, 97
35, 95
36, 91
37, 93
38, 94
39, 91
40, 90
41, 94
42, 86
43, 85
44, 99
45, 99
46, 88
47, 99
48, 99
49, 93
