Simulation, Total_Death
0, 95
1, 91
2, 96
3, 90
4, 90
5, 89
6, 92
7, 93
8, 94
9, 98
10, 80
11, 88
12, 83
13, 81
14, 93
15, 94
16, 85
17, 90
18, 88
19, 93
20, 95
21, 93
22, 86
23, 90
24, 91
25, 90
26, 90
27, 97
28, 91
29, 92
30, 91
31, 95
32, 87
33, 92
34, 95
35, 90
36, 99
37, 91
38, 89
39, 92
40, 93
41, 90
42, 95
43, 89
44, 92
45, 95
46, 93
47, 88
48, 89
49, 91
