Simulation, Total_Death
0, 74
1, 76
2, 65
3, 61
4, 60
5, 67
6, 60
7, 66
8, 72
9, 80
10, 62
11, 60
12, 67
13, 69
14, 61
15, 57
16, 66
17, 52
18, 70
19, 61
20, 59
21, 58
22, 75
23, 69
24, 65
25, 64
26, 61
27, 69
28, 64
29, 55
30, 53
31, 74
32, 71
33, 78
34, 52
35, 72
36, 56
37, 47
38, 56
39, 68
40, 58
41, 64
42, 78
43, 58
44, 75
45, 59
46, 63
47, 69
48, 66
49, 52
