Simulation, Total_Death
0, 76
1, 84
2, 85
3, 76
4, 75
5, 81
6, 76
7, 81
8, 79
9, 78
10, 81
11, 82
12, 80
13, 79
14, 76
15, 84
16, 84
17, 80
18, 82
19, 82
20, 81
21, 79
22, 80
23, 77
24, 77
25, 81
26, 84
27, 74
28, 79
29, 84
30, 82
31, 77
32, 78
33, 88
34, 86
35, 75
36, 72
37, 87
38, 79
39, 80
40, 80
41, 77
42, 75
43, 74
44, 81
45, 87
46, 80
47, 76
48, 76
49, 80
