Simulation, Total_Death
0, 66
1, 66
2, 69
3, 64
4, 60
5, 64
6, 64
7, 55
8, 63
9, 64
10, 61
11, 68
12, 66
13, 65
14, 56
15, 68
16, 61
17, 64
18, 62
19, 61
20, 58
21, 63
22, 58
23, 64
24, 57
25, 63
26, 63
27, 66
28, 62
29, 61
30, 64
31, 68
32, 59
33, 71
34, 65
35, 66
36, 54
37, 62
38, 70
39, 68
40, 58
41, 74
42, 66
43, 68
44, 65
45, 61
46, 59
47, 58
48, 68
49, 66
