Simulation, Total_Death
0, 84
1, 89
2, 88
3, 75
4, 85
5, 83
6, 88
7, 85
8, 93
9, 92
10, 93
11, 80
12, 90
13, 90
14, 92
15, 94
16, 86
17, 85
18, 78
19, 83
20, 91
21, 85
22, 90
23, 86
24, 87
25, 91
26, 88
27, 85
28, 86
29, 85
30, 87
31, 95
32, 87
33, 90
34, 90
35, 89
36, 89
37, 88
38, 93
39, 83
40, 85
41, 80
42, 87
43, 89
44, 87
45, 85
46, 90
47, 84
48, 86
49, 88
