Simulation, Total_Death
0, 96
1, 94
2, 88
3, 92
4, 91
5, 91
6, 93
7, 87
8, 85
9, 95
10, 83
11, 98
12, 87
13, 87
14, 96
15, 90
16, 85
17, 89
18, 97
19, 89
20, 87
21, 95
22, 98
23, 91
24, 89
25, 91
26, 98
27, 98
28, 93
29, 86
30, 89
31, 84
32, 96
33, 90
34, 94
35, 95
36, 92
37, 96
38, 97
39, 94
40, 96
41, 93
42, 95
43, 99
44, 98
45, 97
46, 95
47, 90
48, 93
49, 93
