Iteration, Death_0, Death_1, Death_2, Death_3, Death_4, Death_5, Death_6, Death_7, Death_8, Death_9, Death_10, Death_11, Death_12, Death_13, Death_14, Death_15, Death_16, Death_17, Death_18, Death_19, Death_20, Death_21, Death_22, Death_23, Death_24, Death_25, Death_26, Death_27, Death_28, Death_29
0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1
1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1
2, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1
3, 2, 2, 2, 1, 2, 1, 1, 0, 2, 0, 1, 1, 2, 2, 1, 1, 2, 1, 1, 2, 0, 2, 1, 2, 2, 2, 2, 1, 2, 2
4, 2, 2, 2, 1, 2, 1, 1, 0, 2, 0, 1, 1, 2, 2, 1, 1, 2, 1, 1, 2, 0, 2, 1, 2, 2, 2, 2, 1, 2, 2
5, 2, 2, 2, 1, 2, 1, 1, 0, 2, 0, 1, 1, 2, 2, 1, 1, 2, 1, 1, 2, 0, 2, 1, 2, 2, 2, 2, 1, 2, 2
6, 2, 2, 2, 1, 2, 1, 1, 0, 2, 0, 1, 1, 2, 2, 1, 1, 2, 1, 1, 2, 0, 2, 1, 2, 2, 2, 2, 1, 2, 2
7, 2, 2, 2, 1, 2, 1, 1, 0, 2, 0, 1, 1, 2, 2, 1, 1, 2, 1, 1, 2, 0, 2, 1, 2, 2, 2, 2, 1, 3, 2
8, 3, 2, 2, 2, 2, 2, 1, 0, 3, 0, 1, 2, 3, 2, 1, 1, 2, 1, 1, 2, 0, 3, 1, 2, 2, 3, 2, 2, 3, 2
9, 3, 2, 3, 2, 3, 2, 1, 0, 3, 0, 1, 2, 3, 2, 1, 1, 2, 2, 2, 2, 1, 3, 1, 2, 3, 3, 3, 2, 4, 3
10, 3, 2, 3, 2, 3, 2, 1, 0, 3, 1, 1, 2, 3, 2, 1, 1, 2, 2, 2, 2, 1, 3, 1, 2, 3, 3, 3, 2, 4, 3
11, 3, 2, 3, 2, 3, 2, 1, 0, 3, 1, 1, 2, 3, 2, 1, 1, 2, 2, 2, 2, 1, 3, 1, 2, 3, 3, 3, 2, 4, 3
12, 3, 2, 3, 2, 3, 2, 1, 0, 3, 1, 1, 2, 3, 2, 1, 1, 2, 2, 2, 2, 1, 3, 1, 2, 3, 3, 3, 2, 4, 3
13, 3, 2, 3, 2, 3, 2, 1, 0, 3, 1, 1, 2, 3, 2, 1, 1, 2, 2, 2, 2, 1, 3, 1, 2, 3, 3, 3, 2, 5, 3
14, 3, 2, 3, 2, 3, 2, 1, 0, 3, 1, 1, 2, 3, 2, 1, 1, 2, 2, 2, 3, 1, 3, 1, 2, 3, 3, 3, 2, 5, 3
15, 3, 2, 3, 2, 3, 2, 1, 0, 3, 1, 1, 2, 3, 2, 1, 1, 2, 2, 2, 3, 1, 3, 1, 2, 3, 3, 3, 2, 5, 3
16, 3, 2, 3, 2, 3, 2, 1, 0, 3, 1, 1, 2, 3, 2, 1, 1, 2, 2, 2, 3, 1, 3, 2, 2, 3, 3, 3, 2, 5, 3
17, 3, 2, 3, 2, 3, 2, 1, 0, 3, 1, 1, 2, 3, 2, 1, 1, 2, 2, 2, 3, 1, 3, 2, 2, 3, 3, 3, 2, 5, 3
18, 4, 2, 3, 2, 3, 2, 1, 0, 3, 1, 1, 2, 3, 2, 1, 1, 2, 2, 2, 3, 1, 3, 2, 2, 3, 3, 3, 2, 5, 3
19, 4, 2, 3, 2, 3, 2, 1, 0, 3, 1, 1, 2, 3, 2, 1, 1, 2, 2, 2, 3, 1, 3, 2, 2, 3, 3, 3, 2, 5, 3
20, 4, 2, 3, 2, 3, 2, 1, 0, 3, 1, 1, 2, 3, 2, 1, 1, 2, 2, 2, 3, 2, 3, 2, 2, 3, 3, 3, 2, 5, 3
21, 4, 2, 3, 2, 3, 2, 1, 0, 3, 1, 1, 3, 3, 2, 1, 1, 2, 2, 2, 3, 2, 3, 2, 2, 3, 3, 3, 2, 5, 3
22, 4, 3, 3, 2, 4, 2, 2, 0, 3, 1, 1, 3, 3, 3, 1, 1, 2, 2, 2, 4, 2, 3, 2, 3, 3, 3, 3, 2, 5, 3
23, 4, 3, 4, 3, 4, 3, 2, 0, 4, 1, 1, 3, 3, 3, 2, 1, 2, 2, 3, 4, 3, 3, 3, 3, 4, 3, 4, 2, 6, 3
24, 4, 3, 4, 3, 4, 3, 2, 0, 4, 1, 1, 3, 3, 3, 2, 1, 2, 2, 3, 4, 3, 3, 3, 3, 4, 3, 4, 2, 6, 3
25, 4, 3, 4, 3, 4, 3, 2, 0, 4, 1, 1, 3, 3, 3, 2, 1, 2, 2, 3, 4, 3, 3, 3, 3, 4, 3, 4, 2, 6, 3
26, 4, 3, 4, 4, 4, 3, 2, 0, 4, 1, 1, 3, 3, 3, 2, 1, 2, 2, 3, 4, 3, 3, 3, 3, 4, 3, 4, 2, 6, 3
