Iteration, Death_0, Death_1, Death_2, Death_3, Death_4, Death_5, Death_6, Death_7, Death_8, Death_9, Death_10, Death_11, Death_12, Death_13, Death_14, Death_15, Death_16, Death_17, Death_18, Death_19, Death_20, Death_21, Death_22, Death_23, Death_24, Death_25, Death_26, Death_27, Death_28, Death_29
0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1
1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1
2, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1
3, 2, 2, 2, 2, 1, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 2, 2, 2, 2, 1, 1, 2, 2, 2, 1, 1
4, 2, 2, 2, 2, 1, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 2, 2, 2, 2, 1, 1, 2, 2, 2, 1, 1
5, 2, 2, 2, 2, 1, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 2, 2, 2, 2, 1, 1, 2, 2, 2, 1, 1
6, 2, 2, 2, 2, 1, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 2, 2, 2, 2, 1, 1, 2, 2, 2, 1, 1
7, 2, 2, 2, 2, 1, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 2, 2, 2, 2, 1, 1, 2, 2, 2, 1, 1
8, 3, 3, 2, 3, 2, 3, 2, 2, 2, 3, 1, 3, 2, 2, 2, 2, 2, 1, 1, 2, 2, 3, 3, 2, 2, 3, 3, 3, 2, 1
9, 3, 3, 2, 3, 2, 3, 2, 2, 2, 3, 1, 3, 3, 2, 2, 2, 2, 2, 1, 3, 3, 3, 3, 2, 2, 3, 3, 3, 2, 1
10, 3, 3, 2, 3, 2, 3, 2, 2, 2, 3, 1, 3, 3, 2, 2, 2, 2, 2, 1, 3, 3, 3, 3, 2, 2, 3, 3, 3, 2, 1
11, 3, 3, 2, 3, 2, 3, 2, 2, 2, 3, 1, 3, 3, 2, 2, 2, 2, 2, 1, 3, 3, 3, 3, 2, 2, 3, 3, 3, 2, 1
12, 3, 3, 2, 3, 2, 3, 2, 2, 2, 3, 1, 3, 3, 2, 2, 2, 2, 2, 1, 3, 3, 3, 3, 2, 2, 3, 3, 3, 2, 1
13, 3, 3, 2, 3, 2, 3, 2, 2, 2, 3, 1, 3, 3, 2, 2, 2, 2, 2, 1, 3, 3, 3, 3, 2, 2, 3, 3, 3, 2, 1
14, 3, 3, 2, 3, 2, 3, 2, 2, 2, 3, 1, 3, 3, 2, 2, 2, 2, 2, 1, 3, 3, 3, 3, 2, 2, 3, 3, 3, 2, 1
15, 3, 3, 2, 3, 2, 3, 3, 2, 2, 3, 1, 3, 3, 2, 2, 2, 2, 2, 1, 3, 3, 3, 3, 2, 2, 3, 3, 4, 2, 1
16, 3, 3, 2, 4, 2, 3, 3, 2, 2, 3, 1, 3, 3, 2, 2, 2, 2, 2, 1, 3, 3, 4, 3, 2, 2, 3, 3, 4, 2, 1
17, 3, 3, 2, 4, 2, 3, 3, 2, 2, 3, 1, 3, 3, 2, 2, 2, 2, 2, 1, 3, 3, 4, 3, 2, 3, 4, 3, 4, 2, 1
18, 3, 3, 2, 4, 2, 3, 3, 2, 2, 3, 1, 3, 3, 2, 2, 3, 2, 2, 1, 4, 3, 4, 3, 2, 3, 4, 3, 4, 2, 1
19, 3, 3, 2, 4, 2, 3, 3, 2, 2, 3, 1, 3, 3, 2, 2, 3, 2, 2, 1, 4, 3, 4, 3, 2, 3, 4, 3, 4, 2, 1
20, 3, 3, 2, 4, 2, 3, 3, 2, 2, 3, 1, 3, 3, 2, 2, 3, 2, 2, 1, 4, 3, 4, 3, 2, 3, 4, 3, 4, 2, 1
21, 3, 3, 2, 4, 2, 3, 3, 2, 2, 3, 1, 3, 3, 2, 2, 3, 2, 2, 1, 4, 3, 4, 3, 2, 3, 4, 3, 4, 2, 1
22, 3, 3, 2, 4, 2, 3, 3, 2, 2, 3, 1, 3, 3, 2, 2, 3, 2, 2, 1, 4, 3, 4, 3, 2, 3, 4, 3, 4, 2, 1
23, 3, 3, 3, 4, 2, 3, 3, 2, 2, 3, 1, 4, 3, 2, 2, 3, 2, 2, 1, 4, 3, 4, 3, 2, 4, 4, 3, 4, 2, 1
24, 3, 3, 3, 4, 2, 3, 3, 2, 2, 3, 1, 4, 3, 2, 2, 3, 2, 2, 1, 4, 3, 4, 3, 2, 4, 4, 3, 6, 2, 1
