Iteration, Death_0, Death_1, Death_2, Death_3, Death_4, Death_5, Death_6, Death_7, Death_8, Death_9, Death_10, Death_11, Death_12, Death_13, Death_14, Death_15, Death_16, Death_17, Death_18, Death_19, Death_20, Death_21, Death_22, Death_23, Death_24, Death_25, Death_26, Death_27, Death_28, Death_29
0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0
1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0
2, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0
3, 1, 1, 1, 1, 0, 2, 2, 2, 1, 2, 2, 2, 2, 1, 2, 2, 1, 0, 2, 2, 2, 1, 2, 1, 0, 2, 2, 2, 1, 1
4, 1, 1, 1, 1, 0, 2, 2, 2, 1, 2, 2, 2, 2, 1, 2, 2, 1, 0, 2, 2, 2, 1, 2, 1, 0, 2, 2, 2, 1, 1
5, 1, 1, 1, 1, 0, 2, 2, 2, 1, 2, 2, 2, 2, 1, 2, 2, 1, 0, 2, 2, 2, 1, 2, 1, 0, 2, 2, 2, 1, 1
6, 1, 1, 1, 1, 0, 2, 2, 2, 1, 2, 2, 2, 2, 1, 2, 2, 1, 0, 2, 2, 2, 1, 2, 1, 0, 2, 2, 2, 1, 1
7, 1, 1, 1, 1, 0, 2, 2, 2, 1, 2, 2, 2, 2, 1, 2, 2, 1, 0, 2, 2, 2, 1, 2, 1, 0, 2, 2, 2, 1, 1
8, 1, 1, 1, 1, 0, 2, 2, 2, 1, 3, 2, 3, 3, 1, 2, 3, 2, 0, 2, 2, 2, 1, 2, 1, 1, 3, 2, 3, 1, 2
9, 2, 2, 2, 1, 0, 3, 3, 2, 2, 3, 3, 3, 3, 2, 3, 3, 2, 0, 2, 2, 2, 2, 3, 2, 1, 3, 3, 3, 2, 2
10, 2, 2, 2, 2, 0, 3, 3, 2, 2, 3, 3, 3, 3, 2, 3, 3, 2, 1, 2, 2, 2, 2, 3, 2, 1, 3, 3, 3, 2, 2
11, 2, 2, 2, 2, 0, 3, 3, 2, 2, 3, 3, 3, 3, 2, 3, 3, 2, 1, 2, 2, 2, 2, 3, 2, 1, 3, 3, 3, 2, 2
12, 2, 2, 2, 2, 0, 3, 3, 2, 2, 3, 3, 3, 3, 2, 3, 3, 2, 1, 2, 2, 2, 2, 3, 2, 1, 3, 3, 3, 2, 2
13, 2, 2, 2, 2, 0, 3, 3, 2, 2, 3, 3, 3, 3, 2, 3, 3, 2, 1, 2, 2, 2, 2, 3, 2, 1, 3, 3, 3, 2, 2
14, 2, 2, 2, 2, 0, 3, 3, 2, 2, 3, 3, 3, 3, 2, 3, 3, 2, 1, 2, 2, 2, 2, 3, 2, 1, 3, 3, 3, 2, 2
15, 2, 2, 2, 2, 0, 3, 3, 2, 2, 3, 3, 3, 3, 2, 3, 3, 2, 1, 2, 2, 3, 2, 3, 2, 1, 3, 3, 3, 2, 2
16, 2, 2, 2, 2, 0, 3, 3, 2, 2, 3, 4, 3, 4, 2, 3, 3, 2, 1, 2, 2, 3, 2, 3, 2, 1, 3, 3, 3, 2, 2
17, 2, 3, 2, 2, 0, 3, 3, 2, 2, 3, 4, 3, 4, 2, 4, 3, 2, 1, 3, 2, 3, 2, 3, 2, 2, 3, 4, 3, 2, 2
18, 2, 3, 2, 2, 0, 3, 3, 2, 2, 3, 4, 3, 4, 2, 4, 3, 2, 1, 3, 2, 3, 2, 3, 2, 2, 3, 4, 3, 2, 2
19, 2, 3, 2, 2, 0, 3, 3, 2, 2, 3, 4, 3, 4, 2, 4, 3, 2, 1, 3, 2, 3, 2, 3, 2, 2, 3, 4, 3, 2, 2
20, 2, 3, 2, 2, 0, 3, 3, 2, 2, 3, 4, 3, 4, 2, 4, 3, 2, 1, 3, 2, 3, 2, 3, 2, 2, 3, 4, 3, 2, 2
21, 2, 3, 2, 2, 1, 3, 3, 2, 2, 3, 4, 3, 4, 2, 4, 3, 2, 1, 3, 2, 3, 2, 4, 2, 2, 3, 4, 3, 2, 2
22, 2, 3, 2, 2, 1, 3, 3, 2, 2, 3, 4, 3, 4, 2, 4, 3, 2, 1, 3, 2, 3, 2, 4, 2, 2, 3, 4, 3, 2, 2
23, 3, 3, 2, 2, 1, 3, 3, 2, 2, 3, 4, 3, 4, 2, 4, 3, 2, 1, 3, 2, 3, 2, 4, 2, 2, 3, 4, 3, 2, 2
24, 3, 3, 2, 2, 1, 3, 4, 2, 2, 3, 4, 3, 4, 2, 4, 3, 2, 1, 3, 2, 3, 2, 4, 2, 2, 3, 4, 3, 2, 2
25, 3, 3, 2, 2, 1, 3, 4, 2, 2, 3, 4, 3, 4, 2, 4, 3, 2, 1, 3, 2, 3, 2, 4, 2, 2, 3, 4, 3, 2, 2
26, 3, 3, 2, 2, 1, 3, 4, 2, 2, 3, 4, 3, 4, 2, 4, 3, 2, 1, 3, 2, 3, 2, 4, 2, 2, 3, 4, 3, 2, 2
27, 3, 3, 2, 2, 1, 3, 5, 2, 2, 3, 4, 3, 4, 2, 4, 3, 2, 1, 3, 2, 3, 2, 4, 2, 2, 3, 4, 3, 2, 2
28, 3, 3, 2, 2, 1, 3, 5, 2, 2, 3, 4, 3, 4, 2, 4, 3, 2, 2, 3, 2, 3, 2, 4, 2, 2, 3, 4, 3, 2, 2
29, 3, 3, 2, 3, 1, 3, 5, 2, 3, 3, 4, 3, 4, 2, 4, 3, 2, 2, 3, 2, 3, 2, 4, 2, 2, 3, 4, 4, 2, 2
30, 4, 3, 2, 3, 1, 3, 5, 2, 3, 3, 4, 3, 4, 2, 4, 3, 2, 3, 3, 2, 3, 2, 4, 3, 2, 3, 4, 4, 2, 2
31, 4, 3, 2, 3, 1, 3, 5, 2, 3, 3, 4, 3, 4, 2, 4, 3, 2, 3, 3, 2, 3, 2, 4, 3, 2, 3, 5, 4, 2, 2
32, 4, 3, 2, 4, 1, 3, 5, 2, 3, 3, 4, 3, 4, 2, 4, 3, 2, 3, 3, 2, 3, 2, 4, 3, 2, 3, 5, 4, 2, 3
33, 4, 3, 2, 4, 1, 3, 5, 2, 3, 3, 4, 3, 4, 2, 4, 3, 2, 3, 3, 2, 3, 2, 4, 3, 2, 3, 5, 4, 2, 3
34, 4, 3, 2, 4, 1, 3, 5, 3, 3, 3, 4, 3, 4, 2, 4, 3, 2, 3, 3, 2, 3, 2, 4, 3, 2, 4, 5, 4, 2, 3
35, 4, 3, 2, 4, 1, 3, 5, 3, 3, 3, 4, 3, 4, 2, 4, 3, 2, 3, 3, 2, 3, 2, 4, 3, 2, 4, 5, 4, 2, 3
36, 4, 3, 2, 4, 1, 3, 5, 3, 3, 3, 4, 3, 4, 2, 4, 3, 2, 3, 3, 2, 3, 2, 4, 3, 2, 4, 5, 4, 2, 3
37, 4, 3, 2, 4, 1, 3, 5, 4, 3, 3, 4, 3, 4, 2, 4, 3, 2, 3, 3, 2, 3, 2, 4, 3, 2, 4, 5, 4, 2, 3
38, 4, 3, 2, 4, 1, 3, 5, 4, 3, 3, 4, 3, 4, 2, 5, 3, 2, 3, 3, 2, 3, 3, 4, 3, 2, 4, 5, 4, 2, 3
39, 4, 3, 2, 4, 1, 3, 5, 4, 3, 3, 4, 3, 4, 2, 5, 3, 2, 3, 3, 2, 3, 3, 4, 3, 2, 4, 5, 4, 2, 3
40, 4, 3, 2, 4, 1, 3, 5, 4, 3, 3, 4, 3, 4, 2, 5, 3, 2, 3, 3, 2, 3, 3, 4, 3, 2, 4, 5, 4, 2, 3
41, 4, 3, 2, 4, 1, 3, 5, 4, 3, 3, 4, 3, 4, 2, 5, 3, 2, 3, 3, 2, 3, 3, 4, 3, 2, 4, 5, 4, 2, 3
42, 4, 3, 2, 4, 1, 3, 5, 4, 3, 3, 4, 3, 4, 2, 5, 3, 2, 3, 3, 2, 3, 3, 4, 3, 2, 5, 5, 4, 2, 3
43, 4, 3, 2, 4, 1, 3, 5, 4, 3, 3, 4, 3, 4, 2, 5, 4, 2, 3, 3, 2, 3, 3, 4, 3, 2, 5, 5, 4, 2, 3
44, 4, 3, 2, 4, 1, 3, 5, 4, 4, 3, 4, 3, 4, 2, 5, 4, 2, 3, 3, 2, 3, 3, 4, 3, 2, 5, 5, 4, 2, 3
45, 4, 3, 2, 4, 1, 3, 5, 4, 4, 3, 4, 3, 4, 2, 5, 4, 2, 3, 3, 2, 3, 3, 4, 3, 2, 5, 5, 4, 2, 3
46, 4, 3, 2, 4, 1, 3, 5, 4, 4, 3, 4, 3, 4, 2, 5, 4, 2, 3, 3, 2, 3, 3, 4, 3, 2, 5, 5, 4, 2, 3
47, 4, 3, 2, 4, 1, 3, 5, 4, 4, 3, 4, 3, 4, 2, 6, 4, 2, 3, 3, 2, 3, 3, 4, 3, 2, 5, 5, 4, 2, 3
48, 4, 3, 2, 4, 1, 3, 5, 4, 4, 3, 4, 3, 4, 2, 6, 4, 2, 3, 3, 2, 3, 3, 4, 3, 2, 5, 5, 4, 2, 3
49, 4, 3, 2, 4, 1, 3, 5, 4, 4, 3, 5, 3, 4, 2, 6, 4, 2, 3, 3, 2, 3, 3, 4, 3, 2, 5, 5, 4, 2, 3
50, 4, 3, 2, 4, 1, 3, 5, 4, 4, 3, 5, 3, 4, 2, 6, 4, 2, 3, 3, 2, 3, 3, 4, 3, 2, 5, 5, 5, 2, 3
51, 4, 3, 2, 4, 1, 3, 5, 4, 4, 3, 5, 3, 4, 2, 6, 4, 2, 3, 3, 2, 3, 3, 4, 3, 2, 5, 5, 5, 2, 3
52, 4, 3, 2, 4, 1, 3, 5, 4, 4, 3, 5, 3, 4, 2, 6, 4, 2, 3, 3, 2, 3, 4, 4, 3, 2, 5, 5, 5, 2, 3
53, 4, 3, 2, 4, 1, 3, 5, 4, 5, 3, 5, 3, 4, 2, 6, 4, 2, 3, 3, 2, 3, 4, 4, 3, 2, 5, 5, 5, 2, 3
54, 4, 3, 2, 4, 1, 3, 5, 4, 5, 3, 6, 3, 4, 2, 6, 4, 2, 4, 3, 2, 3, 4, 4, 3, 2, 5, 5, 5, 2, 3
55, 4, 3, 2, 4, 1, 3, 5, 4, 5, 3, 6, 3, 4, 2, 6, 4, 2, 4, 3, 2, 3, 4, 4, 3, 2, 5, 5, 5, 2, 3
56, 4, 3, 2, 4, 1, 4, 5, 5, 5, 3, 6, 3, 4, 2, 6, 4, 2, 4, 3, 2, 3, 4, 4, 3, 2, 5, 5, 5, 2, 3
57, 4, 3, 2, 4, 1, 4, 5, 5, 5, 3, 6, 3, 4, 2, 6, 4, 2, 4, 3, 2, 3, 4, 4, 3, 2, 5, 5, 5, 2, 3
58, 4, 3, 2, 4, 1, 4, 5, 5, 5, 3, 6, 4, 4, 2, 6, 4, 2, 4, 3, 3, 3, 4, 4, 3, 2, 5, 5, 5, 2, 3
59, 4, 3, 2, 4, 1, 4, 5, 5, 5, 3, 6, 4, 4, 2, 6, 4, 2, 4, 3, 3, 3, 4, 4, 3, 3, 5, 5, 5, 2, 3
60, 4, 3, 2, 4, 1, 4, 5, 5, 5, 3, 6, 4, 4, 2, 6, 4, 2, 4, 3, 3, 3, 4, 4, 3, 3, 5, 5, 5, 3, 3
61, 4, 3, 2, 4, 1, 4, 5, 5, 5, 3, 6, 4, 4, 2, 6, 4, 2, 4, 3, 3, 3, 4, 4, 3, 3, 5, 5, 5, 3, 3
62, 4, 3, 2, 4, 1, 4, 5, 5, 6, 3, 6, 4, 4, 2, 6, 4, 2, 4, 3, 3, 3, 4, 4, 3, 3, 5, 5, 5, 3, 3
63, 4, 3, 3, 4, 1, 4, 5, 5, 6, 3, 6, 4, 5, 2, 6, 4, 2, 4, 3, 3, 3, 4, 4, 3, 3, 5, 5, 5, 3, 3
64, 4, 3, 3, 4, 1, 4, 5, 5, 6, 3, 6, 4, 5, 2, 6, 4, 2, 4, 3, 3, 3, 4, 4, 3, 3, 5, 5, 5, 3, 3
65, 4, 3, 3, 4, 1, 4, 5, 5, 6, 3, 6, 4, 5, 2, 6, 4, 2, 4, 3, 3, 3, 4, 4, 4, 3, 5, 5, 5, 3, 3
66, 4, 3, 3, 4, 1, 4, 5, 5, 6, 3, 6, 4, 5, 2, 6, 4, 2, 4, 3, 3, 3, 4, 4, 4, 3, 5, 5, 5, 3, 3
67, 4, 3, 3, 4, 1, 4, 5, 5, 6, 3, 6, 4, 5, 2, 6, 4, 2, 4, 3, 3, 3, 4, 4, 4, 3, 5, 5, 5, 3, 3
68, 4, 3, 3, 4, 1, 4, 5, 5, 6, 3, 6, 4, 5, 2, 6, 4, 2, 4, 3, 3, 3, 4, 4, 4, 3, 5, 5, 5, 3, 3
69, 4, 3, 3, 4, 1, 4, 5, 5, 6, 3, 6, 4, 5, 2, 6, 4, 2, 4, 3, 3, 3, 4, 4, 4, 3, 5, 5, 5, 3, 4
70, 4, 3, 3, 4, 1, 4, 6, 5, 6, 3, 6, 4, 5, 2, 6, 4, 2, 4, 3, 3, 3, 4, 4, 4, 3, 5, 5, 5, 3, 4
71, 4, 3, 3, 4, 1, 4, 6, 5, 6, 3, 6, 4, 5, 2, 6, 4, 2, 4, 3, 3, 3, 4, 4, 4, 3, 5, 5, 5, 3, 4
72, 4, 3, 3, 4, 1, 4, 6, 5, 6, 3, 6, 4, 5, 2, 6, 4, 2, 4, 3, 3, 3, 4, 4, 4, 3, 5, 5, 5, 3, 4
73, 4, 3, 3, 4, 1, 4, 6, 5, 6, 3, 6, 4, 5, 2, 6, 4, 2, 4, 3, 3, 3, 4, 4, 4, 3, 5, 5, 5, 3, 4
74, 4, 3, 3, 4, 1, 4, 6, 5, 6, 3, 6, 4, 5, 2, 6, 4, 2, 4, 3, 3, 3, 4, 4, 4, 3, 5, 5, 5, 3, 4
75, 4, 3, 3, 4, 1, 4, 6, 5, 6, 3, 6, 4, 5, 2, 6, 4, 2, 4, 3, 3, 4, 4, 4, 4, 3, 5, 5, 5, 3, 4
76, 4, 3, 3, 4, 1, 4, 6, 6, 6, 3, 6, 4, 5, 2, 6, 4, 2, 5, 3, 3, 4, 4, 4, 4, 3, 5, 5, 6, 3, 4
77, 4, 3, 3, 4, 1, 4, 6, 6, 6, 3, 6, 4, 5, 2, 6, 4, 2, 5, 3, 3, 4, 4, 4, 4, 3, 5, 5, 6, 3, 4
78, 4, 3, 3, 5, 1, 4, 6, 6, 6, 3, 6, 4, 5, 2, 6, 4, 2, 5, 3, 3, 4, 4, 4, 4, 3, 5, 5, 6, 3, 4
79, 4, 3, 3, 5, 1, 4, 6, 6, 6, 3, 6, 4, 5, 2, 6, 4, 2, 5, 3, 4, 4, 4, 4, 4, 3, 5, 5, 6, 3, 4
80, 4, 3, 3, 5, 1, 4, 6, 6, 6, 3, 6, 4, 5, 2, 6, 4, 2, 5, 3, 4, 4, 4, 4, 4, 3, 5, 5, 6, 3, 4
81, 4, 3, 3, 5, 1, 4, 6, 6, 6, 3, 6, 4, 5, 3, 6, 4, 2, 5, 3, 4, 4, 4, 4, 4, 3, 5, 5, 6, 3, 5
82, 4, 3, 3, 5, 1, 4, 6, 6, 6, 3, 6, 4, 5, 3, 6, 4, 2, 5, 3, 4, 4, 4, 4, 4, 3, 5, 5, 6, 3, 5
83, 4, 3, 3, 5, 1, 4, 6, 6, 6, 4, 6, 4, 5, 3, 6, 5, 2, 5, 3, 4, 4, 4, 4, 5, 3, 5, 5, 6, 3, 5
84, 4, 4, 3, 5, 1, 4, 6, 6, 6, 4, 6, 4, 5, 3, 6, 5, 2, 5, 3, 4, 4, 4, 4, 5, 3, 5, 5, 6, 3, 5
85, 4, 4, 3, 5, 1, 4, 6, 7, 6, 4, 6, 4, 5, 3, 6, 5, 2, 5, 3, 4, 4, 4, 4, 5, 3, 5, 5, 6, 3, 5
86, 4, 4, 3, 5, 1, 4, 6, 7, 6, 4, 6, 4, 5, 3, 6, 5, 2, 5, 3, 4, 4, 4, 4, 5, 3, 5, 5, 6, 3, 5
87, 4, 4, 3, 5, 2, 4, 6, 7, 6, 4, 6, 4, 5, 4, 6, 5, 2, 5, 3, 4, 4, 4, 4, 5, 3, 5, 5, 6, 3, 5
88, 4, 4, 3, 5, 2, 4, 6, 7, 6, 4, 6, 4, 5, 4, 6, 5, 2, 5, 3, 4, 4, 4, 4, 5, 3, 5, 5, 6, 3, 5
89, 4, 4, 3, 5, 2, 4, 6, 7, 6, 4, 6, 4, 5, 4, 6, 5, 2, 5, 3, 4, 4, 4, 4, 5, 3, 5, 5, 6, 3, 5
90, 4, 4, 3, 5, 2, 4, 6, 7, 6, 4, 6, 4, 5, 4, 6, 5, 2, 5, 3, 4, 4, 4, 4, 5, 3, 5, 6, 6, 3, 5
91, 4, 4, 3, 5, 2, 4, 6, 7, 6, 4, 6, 4, 5, 4, 6, 5, 2, 5, 3, 4, 4, 4, 4, 5, 3, 5, 6, 6, 3, 5
92, 4, 4, 3, 5, 2, 4, 6, 7, 6, 4, 6, 4, 5, 4, 6, 5, 2, 5, 3, 4, 4, 4, 4, 5, 3, 5, 6, 6, 3, 5
93, 4, 4, 3, 5, 2, 4, 6, 7, 6, 4, 6, 4, 5, 4, 6, 5, 2, 5, 3, 4, 4, 4, 4, 5, 3, 5, 6, 6, 3, 5
94, 4, 4, 3, 5, 2, 4, 6, 7, 6, 4, 6, 4, 5, 4, 6, 5, 2, 5, 3, 4, 4, 4, 4, 5, 3, 5, 6, 6, 3, 6
95, 4, 4, 3, 5, 2, 4, 6, 7, 6, 4, 6, 4, 5, 4, 6, 5, 2, 5, 3, 4, 4, 4, 4, 5, 3, 5, 6, 6, 3, 6
96, 4, 4, 3, 7, 2, 4, 6, 7, 6, 4, 6, 4, 5, 4, 6, 5, 2, 5, 3, 4, 4, 4, 4, 5, 3, 5, 6, 6, 3, 6
97, 4, 4, 3, 7, 2, 4, 6, 7, 6, 4, 6, 4, 5, 4, 6, 5, 2, 5, 3, 4, 4, 4, 4, 5, 3, 5, 6, 6, 3, 6
98, 4, 4, 3, 7, 2, 4, 6, 7, 6, 4, 6, 4, 5, 4, 6, 5, 2, 5, 3, 4, 4, 4, 4, 5, 3, 5, 6, 6, 3, 6
99, 4, 4, 3, 7, 2, 4, 6, 7, 6, 4, 6, 4, 5, 4, 6, 5, 3, 5, 3, 4, 4, 4, 4, 5, 3, 5, 6, 6, 3, 6
100, 4, 4, 3, 7, 2, 4, 6, 7, 6, 4, 6, 4, 5, 4, 6, 5, 3, 5, 3, 4, 4, 4, 4, 5, 3, 5, 6, 6, 3, 6
101, 4, 4, 3, 7, 2, 4, 6, 7, 6, 4, 6, 4, 5, 4, 6, 5, 3, 5, 3, 4, 4, 4, 4, 5, 3, 5, 6, 6, 3, 6
102, 4, 4, 3, 8, 2, 4, 6, 7, 6, 4, 6, 4, 5, 4, 6, 5, 3, 5, 3, 4, 4, 4, 4, 5, 3, 5, 6, 6, 3, 6
103, 4, 4, 3, 8, 2, 4, 6, 7, 6, 4, 6, 4, 5, 4, 6, 5, 3, 5, 3, 4, 4, 4, 4, 5, 3, 5, 6, 6, 3, 6
104, 4, 4, 3, 8, 2, 4, 6, 7, 6, 4, 6, 4, 5, 4, 6, 5, 3, 5, 3, 4, 4, 4, 4, 5, 3, 5, 6, 6, 3, 6
105, 4, 4, 3, 8, 2, 4, 6, 7, 6, 4, 6, 4, 5, 4, 6, 5, 3, 5, 3, 4, 4, 4, 4, 5, 3, 5, 6, 6, 4, 6
106, 4, 4, 3, 8, 2, 4, 6, 7, 6, 4, 6, 4, 5, 4, 6, 5, 3, 5, 3, 5, 4, 4, 4, 5, 3, 5, 6, 6, 4, 6
107, 4, 4, 3, 8, 2, 4, 6, 7, 6, 4, 6, 4, 5, 4, 6, 5, 3, 5, 3, 5, 4, 4, 4, 5, 3, 6, 6, 6, 4, 6
108, 4, 4, 3, 8, 2, 4, 6, 7, 6, 4, 6, 4, 5, 4, 6, 5, 3, 5, 3, 5, 4, 4, 4, 5, 3, 6, 6, 6, 4, 6
109, 4, 4, 3, 8, 2, 4, 6, 7, 7, 4, 6, 4, 5, 4, 6, 5, 3, 5, 3, 5, 4, 4, 4, 5, 3, 6, 6, 6, 4, 6
110, 4, 4, 3, 8, 2, 4, 6, 7, 7, 4, 6, 4, 5, 4, 6, 5, 3, 5, 4, 5, 4, 4, 4, 5, 3, 6, 6, 6, 4, 6
111, 4, 4, 3, 8, 2, 4, 6, 7, 7, 4, 6, 4, 5, 4, 6, 5, 3, 5, 4, 5, 5, 4, 4, 5, 3, 6, 6, 6, 4, 6
112, 4, 4, 3, 8, 2, 4, 6, 7, 7, 4, 6, 4, 5, 4, 6, 5, 3, 5, 4, 5, 5, 4, 4, 5, 3, 6, 6, 6, 4, 6
113, 4, 4, 3, 8, 2, 4, 6, 7, 7, 4, 6, 4, 5, 4, 6, 5, 3, 5, 4, 5, 5, 4, 4, 5, 3, 6, 6, 6, 4, 6
114, 4, 4, 3, 8, 2, 4, 6, 7, 7, 4, 6, 4, 6, 4, 6, 5, 3, 5, 4, 5, 5, 4, 4, 5, 3, 6, 6, 6, 4, 6
115, 4, 4, 3, 8, 2, 4, 6, 7, 7, 4, 6, 4, 6, 4, 6, 5, 3, 5, 4, 5, 5, 4, 4, 5, 3, 6, 6, 6, 4, 6
116, 4, 4, 3, 8, 2, 4, 6, 7, 7, 4, 6, 4, 6, 4, 6, 5, 3, 6, 4, 5, 5, 4, 4, 5, 3, 6, 6, 6, 4, 7
117, 4, 4, 3, 8, 2, 4, 6, 7, 7, 4, 6, 4, 6, 4, 6, 5, 3, 7, 4, 5, 5, 4, 4, 5, 3, 6, 6, 6, 4, 7
118, 4, 4, 3, 8, 2, 4, 6, 7, 7, 4, 6, 4, 6, 4, 6, 5, 3, 7, 4, 5, 5, 4, 4, 5, 3, 6, 6, 6, 4, 7
119, 5, 4, 3, 8, 2, 4, 6, 7, 7, 4, 6, 4, 6, 4, 6, 5, 3, 7, 4, 5, 5, 4, 4, 5, 3, 6, 6, 6, 4, 7
120, 5, 4, 3, 8, 2, 4, 6, 7, 7, 4, 7, 4, 6, 4, 6, 5, 3, 7, 4, 5, 5, 4, 4, 6, 3, 6, 6, 6, 4, 7
121, 5, 4, 3, 8, 2, 4, 6, 7, 8, 4, 7, 4, 6, 4, 6, 5, 3, 7, 4, 5, 5, 4, 4, 6, 3, 6, 6, 6, 4, 7
122, 5, 4, 3, 8, 2, 4, 6, 7, 9, 4, 7, 4, 6, 4, 6, 5, 3, 7, 4, 5, 5, 4, 4, 6, 3, 6, 6, 7, 4, 7
123, 5, 4, 3, 8, 2, 4, 6, 7, 9, 4, 7, 4, 6, 4, 6, 5, 3, 7, 4, 5, 5, 4, 4, 6, 3, 6, 6, 7, 4, 7
124, 5, 4, 3, 8, 2, 4, 6, 7, 9, 4, 7, 4, 6, 4, 6, 5, 3, 7, 4, 5, 5, 4, 4, 6, 3, 6, 6, 7, 4, 7
125, 5, 4, 3, 8, 2, 4, 6, 7, 9, 4, 7, 4, 6, 4, 6, 5, 3, 7, 4, 5, 5, 4, 4, 6, 3, 6, 6, 7, 4, 7
126, 5, 4, 3, 8, 2, 4, 6, 7, 9, 4, 7, 4, 6, 4, 6, 5, 3, 7, 4, 5, 5, 4, 4, 6, 3, 6, 6, 7, 4, 7
