Simulation, Total_Death
0, 150
1, 160
2, 168
3, 150
4, 177
5, 166
6, 158
7, 159
8, 159
9, 157
10, 179
11, 166
12, 167
13, 166
14, 162
15, 146
16, 170
17, 170
18, 177
19, 159
20, 164
21, 179
22, 171
23, 154
24, 177
25, 161
26, 171
27, 151
28, 171
29, 178
30, 170
31, 164
32, 174
33, 162
34, 159
35, 151
36, 151
37, 162
38, 171
39, 157
40, 171
41, 171
42, 176
43, 166
44, 166
45, 146
46, 167
47, 154
48, 174
49, 168
